dataset_name,clust_tool,id,nt,num_seq,min_nt,max-nt,avg_nt,alphabet,word_width,word_ones,spaced,hashed,coded,stepped,slots,DBAccel,num_clusters,min_cluster_size,max_clust_size,avg_clust_size,num_singletons,perc_seqs_singleton,perc_cluster_singleton,run_time,max-mem
60x50mutinter,usearch,0.99,295469,3000,78,107,98.48966667,NA,NA,NA,NA,NA,NA,NA,NA,NA,2626,1,8,1.1,2365,90.10%,90.10%,1.00s,9.2Mb
60x50mutstack,usearch,0.99,295525,3000,78,107,98.50833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,2614,1,8,1.1,2343,89.60%,89.60%,1.00s,9.2Mb
Control-t1,usearch,0.99,357217,3467,42,243,103.0334583,NA,NA,NA,NA,NA,NA,NA,NA,NA,2356,1,24,1.5,1859,63.00%,78.90%,1.00s,12Mb
Control-t2,usearch,0.99,184893,1814,48,157,101.9255788,NA,NA,NA,NA,NA,NA,NA,NA,NA,1395,1,13,1.3,1194,71.80%,85.60%,1.00s,11Mb
GTZ-t1,usearch,0.99,382140,3843,40,269,99.43793911,NA,NA,NA,NA,NA,NA,NA,NA,NA,1770,1,272,2.2,1395,59.30%,78.80%,1.00s,12Mb
GTZ-t2,usearch,0.99,152136,1526,41,153,99.69593709,NA,NA,NA,NA,NA,NA,NA,NA,NA,1184,1,21,1.3,997,70.90%,84.20%,1.00s,11Mb
Glyphosate-t1,usearch,0.99,514742,5025,41,277,102.4362189,NA,NA,NA,NA,NA,NA,NA,NA,NA,2879,1,156,1.7,2214,57.80%,76.90%,1.00s,13Mb
Glyphosate-t2,usearch,0.99,180842,1796,36,128,100.6915367,NA,NA,NA,NA,NA,NA,NA,NA,NA,1423,1,28,1.3,1231,73.80%,86.50%,1.00s,11Mb
Hao_skin_axillary_hv5,usearch,0.99,1519427,1130,1241,1387,1344.625664,NA,NA,NA,NA,NA,NA,NA,NA,NA,1009,1,34,1.1,978,96.90%,96.90%,1.00s,12Mb
Huse_gb_2007_8_7_r143_s2,usearch,0.99,32816656,340150,45,169,96.47701308,NA,NA,NA,NA,NA,NA,NA,NA,NA,17051 (17.1k),1,25996 (26.0k),19.9,11766 (11.8k),50.20%,69.00%,2.00s,91Mb
QuinceArtficialGSFLXClean,usearch,0.99,9138642,34308,200,289,266.3705841,NA,NA,NA,NA,NA,NA,NA,NA,NA,4038,1,2692,8.5,3023,24.50%,74.90%,1.00s,30Mb
QuincePriestPotGSFLXClean,usearch,0.99,4170828,16222,200,303,257.1093577,NA,NA,NA,NA,NA,NA,NA,NA,NA,3432,1,1378,4.7,2517,26.60%,73.30%,1.00s,23Mb
Youssef,usearch,0.99,1684019,1132,952,1542,1487.649293,NA,NA,NA,NA,NA,NA,NA,NA,NA,1128,1,2,1,1124,99.60%,99.60%,1.00s,12Mb
60species,usearch,0.995,5887,60,79,106,98.11666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,1,2,1,58,98.30%,98.30%,1.00s,8.0Mb
